2023-10-02 14:55:51,340 INFO    MainThread:3257128 [wandb_setup.py:_flush():76] Current SDK version is 0.15.4
2023-10-02 14:55:51,341 INFO    MainThread:3257128 [wandb_setup.py:_flush():76] Configure stats pid to 3257128
2023-10-02 14:55:51,341 INFO    MainThread:3257128 [wandb_setup.py:_flush():76] Loading settings from /net/people/plgrid/plgmazurekagh/.config/wandb/settings
2023-10-02 14:55:51,341 INFO    MainThread:3257128 [wandb_setup.py:_flush():76] Loading settings from /net/tscratch/people/plgmazurekagh/energy_efficient_ai/efficient_classification/wandb/settings
2023-10-02 14:55:51,341 INFO    MainThread:3257128 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'api_key': '***REDACTED***'}
2023-10-02 14:55:51,341 INFO    MainThread:3257128 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-10-02 14:55:51,341 INFO    MainThread:3257128 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'src/main.py', 'program': '/net/tscratch/people/plgmazurekagh/energy_efficient_ai/efficient_classification/src/main.py'}
2023-10-02 14:55:51,341 INFO    MainThread:3257128 [wandb_init.py:_log_setup():507] Logging user logs to /net/tscratch/people/plgmazurekagh/energy_efficient_ai/efficient_classification/wandb/run-20231002_145551-2pyr3eew/logs/debug.log
2023-10-02 14:55:51,341 INFO    MainThread:3257128 [wandb_init.py:_log_setup():508] Logging internal logs to /net/tscratch/people/plgmazurekagh/energy_efficient_ai/efficient_classification/wandb/run-20231002_145551-2pyr3eew/logs/debug-internal.log
2023-10-02 14:55:51,341 INFO    MainThread:3257128 [wandb_init.py:init():547] calling init triggers
2023-10-02 14:55:51,341 INFO    MainThread:3257128 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {}
2023-10-02 14:55:51,341 INFO    MainThread:3257128 [wandb_init.py:init():596] starting backend
2023-10-02 14:55:51,341 INFO    MainThread:3257128 [wandb_init.py:init():600] setting up manager
2023-10-02 14:55:51,343 INFO    MainThread:3257128 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-10-02 14:55:51,345 INFO    MainThread:3257128 [wandb_init.py:init():606] backend started and connected
2023-10-02 14:55:51,349 INFO    MainThread:3257128 [wandb_init.py:init():703] updated telemetry
2023-10-02 14:55:51,356 INFO    MainThread:3257128 [wandb_init.py:init():736] communicating run to backend with 60.0 second timeout
2023-10-02 14:55:51,817 INFO    MainThread:3257128 [wandb_run.py:_on_init():2176] communicating current version
2023-10-02 14:55:51,933 INFO    MainThread:3257128 [wandb_run.py:_on_init():2185] got version response upgrade_message: "wandb version 0.15.11 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-10-02 14:55:51,933 INFO    MainThread:3257128 [wandb_init.py:init():787] starting run threads in backend
2023-10-02 14:55:55,228 INFO    MainThread:3257128 [wandb_run.py:_console_start():2155] atexit reg
2023-10-02 14:55:55,229 INFO    MainThread:3257128 [wandb_run.py:_redirect():2010] redirect: 3
2023-10-02 14:55:55,229 INFO    MainThread:3257128 [wandb_run.py:_redirect():2075] Wrapping output streams.
2023-10-02 14:55:55,229 INFO    MainThread:3257128 [wandb_run.py:_redirect():2100] Redirects installed.
2023-10-02 14:55:55,230 INFO    MainThread:3257128 [wandb_init.py:init():828] run started, returning control to user process
